ref_a,ref_b
ref-t-58268,ref-b-6643390
ref-t-58268,ref-b-8019474
ref-t-59837,ref-b-4282397
ref-t-61592,ref-y-315940
ref-t-62739,ref-b-5280334
ref-t-70317,ref-y-335784
ref-t-70603,ref-y-337948
ref-t-70603,ref-y-337948
ref-t-74747,ref-b-7345895
ref-t-76678,ref-y-347862
ref-t-76678,ref-y-347862
ref-t-77337,ref-b-2841129
ref-t-77627,ref-b-2841129
ref-t-84447,ref-b-8237722
ref-t-86031,ref-y-368573
ref-t-87059,ref-y-531237
ref-t-87856,ref-b-4570434
ref-t-87856,ref-b-5158720
ref-t-89395,ref-b-4237951
ref-t-91734,ref-b-7902219
ref-t-93872,ref-b-4102328
ref-t-93872,ref-y-485426
ref-t-93872,ref-y-801523
ref-t-93872,ref-y-801523
ref-t-95643,ref-y-541819
ref-t-95643,ref-y-541819
ref-t-99723,ref-y-548395
ref-t-99723,ref-y-783652
ref-t-100469,ref-y-554020
ref-t-102626,ref-y-337579
ref-t-102626,ref-y-337579
ref-t-103645,ref-y-562963
ref-t-104731,ref-y-794888
ref-t-106649,ref-y-565914
ref-t-108340,ref-y-571537
ref-t-108597,ref-b-2125281
ref-t-108597,ref-b-7006529
ref-t-108799,ref-b-7006736
ref-t-109939,ref-y-785850
ref-t-110256,ref-b-3719189
ref-t-110256,ref-b-3719189
ref-t-111894,ref-y-867159
ref-t-111894,ref-y-867159
ref-t-112945,ref-y-581766
ref-t-112945,ref-y-581766
ref-t-113683,ref-y-573861
ref-t-114822,ref-y-596443
ref-t-116325,ref-b-3140300
ref-t-116325,ref-b-4245280
ref-t-116325,ref-b-4245669
ref-t-120573,ref-y-618179
ref-t-122766,ref-y-837555
ref-t-124489,ref-b-3113925
ref-t-126499,ref-y-630692
ref-t-127220,ref-y-634759
ref-t-128127,ref-y-499956
ref-t-128127,ref-y-706943
ref-t-130149,ref-y-923882
ref-t-131145,ref-y-507405
ref-t-131145,ref-y-970544
ref-t-131145,ref-y-3280448
ref-t-131145,ref-b-864276
ref-t-131384,ref-b-5754294
ref-t-131626,ref-b-7018223
ref-t-132370,ref-b-3172631
ref-t-135625,ref-b-2270521
ref-t-135625,ref-y-463122
ref-t-135625,ref-y-815049
ref-t-135625,ref-y-1645955
ref-t-135625,ref-y-1645955
ref-t-139733,ref-b-2676074
ref-t-147236,ref-b-2286342
ref-t-147236,ref-y-469541
ref-t-147550,ref-y-471153
ref-t-147550,ref-y-471153
ref-t-148597,ref-y-491199
ref-t-148615,ref-y-491199
ref-t-152154,ref-y-630692
ref-t-152154,ref-y-630692
ref-t-152706,ref-y-507405
ref-t-152706,ref-y-970544
ref-t-152706,ref-y-3280448
ref-t-152706,ref-y-3280448
ref-t-154414,ref-b-2069472
ref-t-156351,ref-y-321244
ref-t-158026,ref-b-1441830
ref-t-158026,ref-b-1441830
ref-t-162021,ref-y-373575
ref-t-162033,ref-y-373361
ref-t-166707,ref-y-394610
ref-t-168277,ref-y-373791
ref-t-168544,ref-y-850289
ref-t-169691,ref-y-409474
ref-t-173258,ref-b-980046
ref-t-173258,ref-b-980046
ref-t-182366,ref-b-1041933
ref-t-182366,ref-b-1041933
ref-t-182403,ref-y-656336
ref-t-184351,ref-b-5400154
ref-t-187681,ref-y-686206
ref-t-189468,ref-y-690779
ref-t-196422,ref-y-712065
ref-t-196422,ref-y-712065
ref-t-202826,ref-b-5267955
ref-t-203147,ref-y-362066
ref-t-203607,ref-y-694404
ref-t-203607,ref-y-694404
ref-t-207300,ref-y-260291
ref-t-211688,ref-y-3392307
ref-t-220088,ref-y-804344
ref-t-220108,ref-b-7892353
ref-t-220149,ref-b-5051476
ref-t-220720,ref-y-485426
ref-t-220730,ref-b-4102328
ref-t-220730,ref-y-801523
ref-t-220730,ref-y-801523
ref-t-221242,ref-sifra-499251
ref-t-221242,ref-sifra-499251
ref-t-222476,ref-y-848723
ref-t-225401,ref-b-4388514
ref-t-228652,ref-b-366711
ref-t-228652,ref-b-366711
ref-t-228764,ref-y-894766
ref-t-228764,ref-y-894766
ref-t-228961,ref-b-366822
ref-t-228961,ref-b-366915
ref-t-228961,ref-b-366915
ref-t-229696,ref-b-385279
ref-t-229696,ref-b-385279
ref-t-229696,ref-y-901826
ref-t-230625,ref-b-390655
ref-t-232165,ref-y-913540
ref-t-232165,ref-y-913540
ref-t-232165,ref-b-405151
ref-t-232811,ref-b-432562
ref-t-232811,ref-y-926023
ref-t-233193,ref-b-432969
ref-t-234772,ref-y-937087
ref-t-235207,ref-b-481079
ref-t-235489,ref-y-550930
ref-t-235489,ref-y-938886
ref-t-236176,ref-b-4244763
ref-t-236176,ref-b-4244763
ref-t-236622,ref-b-406173
ref-t-236839,ref-b-488287
ref-t-238398,ref-b-499959
ref-t-238398,ref-y-950086
ref-t-238398,ref-y-950086
ref-t-238809,ref-y-3280448
ref-t-238809,ref-b-864262
ref-t-238809,ref-y-507405
ref-t-238809,ref-y-970544
ref-t-238809,ref-y-970544
ref-t-238809,ref-y-507405
ref-t-239556,ref-b-522529
ref-t-239556,ref-b-522529
ref-t-240903,ref-b-529589
ref-t-240903,ref-b-529589
ref-t-241647,ref-b-559868
ref-t-243560,ref-y-1218683
ref-t-248461,ref-b-6193242
ref-t-249196,ref-b-6541016
ref-t-253010,ref-b-866210
ref-t-261490,ref-b-698141
ref-t-264751,ref-y-1014600
ref-t-264751,ref-y-1014600
ref-t-268648,ref-y-500074
ref-t-268648,ref-y-707064
ref-t-268978,ref-y-1064774
ref-t-269319,ref-y-1064429
ref-t-271431,ref-b-759713
ref-t-271636,ref-b-753258
ref-t-272000,ref-b-753643
ref-t-272366,ref-b-754104
ref-t-272608,ref-b-757092
ref-t-273067,ref-b-757766
ref-t-274660,ref-b-408261
ref-t-274829,ref-b-784852
ref-t-275737,ref-y-1050712
ref-t-276724,ref-b-788886
ref-t-278749,ref-b-7524058
ref-t-279370,ref-b-807818
ref-t-280280,ref-b-2155104
ref-t-281297,ref-b-839482
ref-t-281297,ref-b-839482
ref-t-281297,ref-b-3110518
ref-t-282114,ref-y-2128313
ref-t-282392,ref-b-836010
ref-t-282392,ref-b-836082
ref-t-282392,ref-b-7618599
ref-t-283352,ref-sifra-312536
ref-t-284747,ref-b-1942160
ref-t-291595,ref-b-901546
ref-t-293268,ref-b-922949
ref-t-293850,ref-b-3680816
ref-t-293850,ref-b-5287538
ref-t-294557,ref-b-962155
ref-t-296397,ref-b-996005
ref-t-299133,ref-b-1007760
ref-t-299174,ref-b-1008269
ref-t-299174,ref-b-1008269
ref-t-300418,ref-b-1249329
ref-t-300934,ref-b-1051932
ref-t-301976,ref-y-1146016
ref-t-305254,ref-b-1100503
ref-t-305840,ref-b-1056985
ref-t-306095,ref-b-1057319
ref-t-307575,ref-b-1120643
ref-t-307966,ref-b-1118358
ref-t-307966,ref-b-1118358
ref-t-310126,ref-b-1126655
ref-t-310736,ref-y-1168077
ref-t-311738,ref-b-1128754
ref-t-313481,ref-b-1162820
ref-t-313481,ref-y-1175986
ref-t-313485,ref-y-1175986
ref-t-313876,ref-b-1160928
ref-t-313876,ref-b-6721203
ref-t-315165,ref-b-1221941
ref-t-317261,ref-b-1168257
ref-t-317261,ref-b-1168257
ref-t-319658,ref-b-1188977
ref-t-321938,ref-b-1211256
ref-t-322345,ref-b-1255041
ref-t-324066,ref-b-1223129
ref-t-329899,ref-b-799117
ref-t-329899,ref-b-1256548
ref-t-330960,ref-y-1221225
ref-t-331733,ref-b-1294157
ref-t-331733,ref-b-1294157
ref-t-331974,ref-y-1226043
ref-t-332558,ref-b-1330522
ref-t-334071,ref-b-1369524
ref-t-334786,ref-y-3501147
ref-t-334786,ref-y-835763
ref-t-334907,ref-y-3501147
ref-t-335080,ref-y-835952
ref-t-335080,ref-y-3501319
ref-t-335120,ref-y-3501364
ref-t-336414,ref-y-1250790
ref-t-336912,ref-b-1144838
ref-t-336912,ref-y-3426898
ref-t-336912,ref-y-3427149
ref-t-336912,ref-b-1144838
ref-t-337921,ref-b-1386622
ref-t-337921,ref-b-1386622
ref-t-343250,ref-b-7358123
ref-t-343250,ref-b-7358164
ref-t-343507,ref-b-1456923
ref-t-343507,ref-b-7358527
ref-t-344371,ref-y-1286894
ref-t-346582,ref-b-6843116
ref-t-346582,ref-b-6843116
ref-t-346937,ref-b-6843217
ref-t-349642,ref-b-1487459
ref-t-349659,ref-b-1487459
ref-t-350598,ref-y-1091121
ref-t-350598,ref-y-1317926
ref-t-350598,ref-y-1317926
ref-t-352880,ref-y-1325032
ref-t-354083,ref-y-3515413
ref-t-354083,ref-y-1334123
ref-t-354083,ref-y-3515413
ref-t-354319,ref-b-7105969
ref-t-362315,ref-sifre-n-93100
ref-t-362940,ref-y-1364526
ref-t-362940,ref-y-1364526
ref-t-364364,ref-sifra-209169
ref-t-367333,ref-b-1609741
ref-t-369103,ref-b-1860222
ref-t-369103,ref-b-1866732
ref-t-370491,ref-b-8292157
ref-t-370698,ref-b-8456236
ref-t-371159,ref-b-269860
ref-t-373839,ref-y-740708
ref-t-373839,ref-y-1993379
ref-t-375408,ref-sifra-143429
ref-t-376747,ref-sifre-d-126617
ref-t-376747,ref-sifre-d-126622
ref-t-378857,ref-b-7085650
ref-t-378857,ref-b-8293100
ref-t-378857,ref-b-8329919
ref-t-378857,ref-y-1529297
ref-t-381290,ref-y-1547264
ref-t-381630,ref-b-1843508
ref-t-384601,ref-sifra-185912
ref-t-384601,ref-sifra-185927
ref-t-387594,ref-b-2528672
ref-t-387594,ref-b-6801596
ref-t-387749,ref-y-1394308
ref-t-387749,ref-y-1872017
ref-t-388404,ref-sifra-536310
ref-t-388404,ref-sifra-536310
ref-t-389082,ref-y-1402840
ref-t-390074,ref-b-1745584
ref-t-390074,ref-sifre-n-292001
ref-t-390074,ref-b-1745584
ref-t-390074,ref-y-1410537
ref-t-392701,ref-y-1425461
ref-t-393034,ref-sifra-431311
ref-t-393034,ref-sifra-443863
ref-t-393273,ref-y-1426878
ref-t-393273,ref-b-1782358
ref-t-393488,ref-y-1427226
ref-t-393521,ref-sifra-431953
ref-t-393557,ref-y-1427226
ref-t-393557,ref-sifra-431953
ref-t-394550,ref-b-1786349
ref-t-394637,ref-y-1430301
ref-t-395254,ref-y-1540563
ref-t-395308,ref-b-1787303
ref-t-395308,ref-b-1788199
ref-t-395521,ref-y-1431200
ref-t-395521,ref-y-1539995
ref-t-395840,ref-y-1431489
ref-t-395840,ref-y-1540329
ref-t-395840,ref-y-1431489
ref-t-396111,ref-y-1430985
ref-t-396111,ref-y-1539768
ref-t-396111,ref-b-1787303
ref-t-396111,ref-b-1788199
ref-t-396111,ref-y-1540605
ref-t-396463,ref-y-1540963
ref-t-396919,ref-b-1789075
ref-t-398136,ref-b-1793391
ref-t-398595,ref-b-1810584
ref-t-401257,ref-sifra-441781
ref-t-402284,ref-b-1854691
ref-t-402559,ref-sifra-442739
ref-t-402896,ref-sifra-443252
ref-t-403974,ref-y-3339537
ref-t-404698,ref-y-1465243
ref-t-404969,ref-b-1871534
ref-t-406114,ref-b-4038977
ref-t-406125,ref-b-1883705
ref-t-406125,ref-b-1883705
ref-t-406125,ref-b-4038977
ref-t-406995,ref-y-1394732
ref-t-406995,ref-y-3538173
ref-t-408139,ref-b-1935744
ref-t-409282,ref-y-3344204
ref-t-409337,ref-b-1948693
ref-t-409282,ref-y-3272594
ref-t-409555,ref-y-1490375
ref-t-409555,ref-y-3272927
ref-t-409555,ref-y-1490375
ref-t-410929,ref-b-1958168
ref-t-410929,ref-y-1492154
ref-t-410929,ref-b-1958168
ref-t-412223,ref-y-1576305
ref-t-412223,ref-y-1576305
ref-t-413753,ref-b-2032269
ref-t-414230,ref-b-2011251
ref-t-415588,ref-y-1594204
ref-t-415898,ref-b-2884838
ref-t-416279,ref-y-20311
ref-t-416689,ref-b-2038705
ref-t-417102,ref-b-2037654
ref-t-417342,ref-b-2037899
ref-t-417342,ref-mek-8090
ref-t-417651,ref-b-2038201
ref-t-418000,ref-b-2051647
ref-t-418243,ref-b-2042808
ref-t-418866,ref-b-2072073
ref-t-418866,ref-y-1608770
ref-t-419118,ref-sifra-596039
ref-t-420112,ref-y-1555291
ref-t-420112,ref-bible-1075632
ref-t-420140,ref-b-1916312
ref-t-420765,ref-bible-1075933
ref-t-420765,ref-y-1556114
ref-t-420765,ref-bible-1075933
ref-t-422423,ref-y-1616092
ref-t-422527,ref-b-2093672
ref-t-422527,ref-b-8475822
ref-t-422527,ref-y-1616426
ref-t-422912,ref-b-2093015
ref-t-422912,ref-b-6984335
ref-t-423472,ref-y-1652459
ref-t-423472,ref-sifre-n-262203
ref-t-423472,ref-sifre-n-262203
ref-t-423666,ref-bible-1147190
ref-t-423666,ref-bible-1147190
ref-t-424281,ref-b-2108166
ref-t-424623,ref-b-2109477
ref-t-424833,ref-y-1620947
ref-t-424833,ref-b-2101030
ref-t-425071,ref-b-2101301
ref-t-428311,ref-y-1630571
ref-t-429889,ref-y-1693895
ref-t-430702,ref-b-2196949
ref-t-431989,ref-b-2154187
ref-t-432864,ref-b-2149317
ref-t-433323,ref-b-2155104
ref-t-434595,ref-y-1707248
ref-t-434887,ref-y-774208
ref-t-434887,ref-y-774208
ref-t-434887,ref-y-1706078
ref-t-435770,ref-y-1708821
ref-t-437259,ref-y-1713118
ref-t-437281,ref-y-1713118
ref-t-438749,ref-y-1270299
ref-t-438749,ref-y-1718163
ref-t-439441,ref-b-2212977
ref-t-439974,ref-y-1720711
ref-t-440266,ref-b-2211687
ref-t-441806,ref-b-2226779
ref-t-441962,ref-b-2226315
ref-t-442531,ref-b-2226486
ref-t-442782,ref-b-2221009
ref-t-443796,ref-y-1730663
ref-t-445117,ref-b-2240330
ref-t-445139,ref-y-165110
ref-t-445139,ref-y-1736984
ref-t-446521,ref-b-2245473
ref-t-446521,ref-b-2245473
ref-t-446730,ref-b-2252565
ref-t-446943,ref-y-1636599
ref-t-446943,ref-y-1636599
ref-t-446943,ref-sifra-595063
ref-t-447575,ref-y-1514635
ref-t-447575,ref-y-1514635
ref-t-447575,ref-y-1642652
ref-t-447575,ref-y-1642652
ref-t-447984,ref-y-1645955
ref-t-447989,ref-b-2270521
ref-t-447989,ref-b-2270521
ref-t-447989,ref-y-463122
ref-t-447989,ref-y-815049
ref-t-449060,ref-y-1652459
ref-t-449060,ref-sifre-n-262203
ref-t-449381,ref-b-2287698
ref-t-449931,ref-b-2312509
ref-t-451361,ref-b-2321087
ref-t-451432,ref-y-1666626
ref-t-452575,ref-b-2329504
ref-t-454349,ref-b-2348086
ref-t-454349,ref-sifra-585231
ref-t-454349,ref-sifra-585231
ref-t-454763,ref-sifra-586130
ref-t-454763,ref-sifra-586130
ref-t-454843,ref-y-1680931
ref-t-458450,ref-b-2377873
ref-t-458663,ref-y-515878
ref-t-458913,ref-y-1750277
ref-t-458913,ref-y-1750277
ref-t-458913,ref-y-190094
ref-t-459735,ref-y-60311
ref-t-459805,ref-y-59728
ref-t-459846,ref-y-60311
ref-t-460059,ref-b-5458740
ref-t-461028,ref-b-2421336
ref-t-461528,ref-b-2421786
ref-t-461528,ref-b-2421786
ref-t-461799,ref-b-2422166
ref-t-461799,ref-b-2421049
ref-t-462107,ref-b-8152766
ref-t-462107,ref-b-2474671
ref-t-462156,ref-y-1804652
ref-t-462156,ref-y-1804652
ref-t-463067,ref-b-2423336
ref-t-463101,ref-y-1775371
ref-t-463101,ref-y-1775415
ref-t-463413,ref-y-1774813
ref-t-463413,ref-b-2423147
ref-t-464803,ref-y-1777857
ref-t-464803,ref-y-1846992
ref-t-465506,ref-b-2431799
ref-t-465506,ref-b-2431799
ref-t-466022,ref-b-2448107
ref-t-466309,ref-bible-1586409
ref-t-467003,ref-y-1790246
ref-t-469247,ref-y-1522019
ref-t-469247,ref-y-1810467
ref-t-469247,ref-y-1842841
ref-t-469247,ref-y-1842841
ref-t-469772,ref-y-1811360
ref-t-470017,ref-y-1811530
ref-t-470937,ref-b-2483267
ref-t-470937,ref-b-8149444
ref-t-470937,ref-y-1818800
ref-t-472797,ref-b-2505876
ref-t-473394,ref-b-5354058
ref-t-473825,ref-b-2515957
ref-t-473825,ref-b-2515973
ref-t-478965,ref-y-1901551
ref-t-480027,ref-b-2620390
ref-t-480276,ref-b-2631014
ref-t-481865,ref-b-2597703
ref-t-483274,ref-y-1914568
ref-t-491140,ref-b-2711488
ref-t-491140,ref-y-2020695
ref-t-491296,ref-y-2020695
ref-t-492845,ref-y-1277156
ref-t-492845,ref-y-1277156
ref-t-495203,ref-sifre-d-170422
ref-t-495203,ref-b-2772965
ref-t-496061,ref-b-2177209
ref-t-496601,ref-b-2782755
ref-t-497551,ref-b-2806606
ref-t-497551,ref-y-1941723
ref-t-497551,ref-b-2806606
ref-t-497551,ref-y-1941723
ref-t-497979,ref-b-2807264
ref-t-497979,ref-y-1942359
ref-t-498383,ref-y-1943529
ref-t-499106,ref-y-1942968
ref-t-499106,ref-b-2809205
ref-t-500112,ref-y-3158029
ref-t-500744,ref-y-3158947
ref-t-500744,ref-b-6272879
ref-t-501280,ref-b-1729418
ref-t-501836,ref-y-1958200
ref-t-501836,ref-y-1709648
ref-t-501836,ref-y-1709648
ref-t-501836,ref-b-2180979
ref-t-501836,ref-y-1958200
ref-t-502269,ref-b-2181573
ref-t-502807,ref-b-2180607
ref-t-502807,ref-b-2180607
ref-t-502807,ref-y-1959955
ref-t-504804,ref-b-2839662
ref-t-505330,ref-b-1325904
ref-t-505330,ref-b-2838407
ref-t-505330,ref-b-1325904
ref-t-505330,ref-b-2838407
ref-t-505330,ref-y-1976642
ref-t-505330,ref-y-2303047
ref-t-505330,ref-sifra-206725
ref-t-507250,ref-b-2840848
ref-t-508589,ref-y-2061062
ref-t-510468,ref-b-2882214
ref-t-510468,ref-y-2065520
ref-t-510468,ref-y-2827950
ref-t-510895,ref-y-20311
ref-t-511371,ref-b-2898724
ref-t-512882,ref-b-3123956
ref-t-513833,ref-b-2905827
ref-t-513833,ref-y-2072333
ref-t-517323,ref-y-2079116
ref-t-521014,ref-y-2091708
ref-t-522949,ref-b-2980806
ref-t-523178,ref-b-2973650
ref-t-523778,ref-b-2971102
ref-t-524136,ref-b-2970855
ref-t-525994,ref-b-3003114
ref-t-527026,ref-y-2296279
ref-t-527102,ref-y-2296369
ref-t-528318,ref-b-3051828
ref-t-529151,ref-b-3050987
ref-t-529866,ref-b-3063102
ref-t-531784,ref-b-3021854
ref-t-532278,ref-y-2121748
ref-t-532749,ref-b-3079389
ref-t-533842,ref-b-3111115
ref-t-535107,ref-b-2903007
ref-t-535524,ref-b-3147810
ref-t-540354,ref-b-3170624
ref-t-542318,ref-b-3184737
ref-t-543973,ref-sifre-d-276992
ref-t-545512,ref-b-3207992
ref-t-545512,ref-b-3487198
ref-t-546335,ref-b-3215050
ref-t-546611,ref-b-3215639
ref-t-547087,ref-b-3217672
ref-t-547407,ref-b-4319521
ref-t-547407,ref-b-3213499
ref-t-548843,ref-b-3238132
ref-t-549066,ref-y-2233491
ref-t-549218,ref-y-2170704
ref-t-550480,ref-y-2239120
ref-t-550683,ref-b-3246417
ref-t-551837,ref-b-3252466
ref-t-552038,ref-y-2240396
ref-t-552038,ref-b-3252461
ref-t-552038,ref-b-3252849
ref-t-552038,ref-b-3252977
ref-t-552602,ref-b-3253048
ref-t-552965,ref-b-3258084
ref-t-554413,ref-y-2367019
ref-t-554413,ref-b-3285721
ref-t-554413,ref-y-2367019
ref-t-555622,ref-b-3290307
ref-t-555622,ref-b-3290307
ref-t-556559,ref-b-4478647
ref-t-556872,ref-y-2861432
ref-t-557211,ref-b-3320626
ref-t-557649,ref-b-3321565
ref-t-558674,ref-b-3326978
ref-t-558677,ref-y-2392711
ref-t-561501,ref-b-3396527
ref-t-562403,ref-y-2436516
ref-t-562804,ref-b-5450248
ref-t-562804,ref-b-5450248
ref-t-562804,ref-y-2226237
ref-t-562804,ref-y-2425606
ref-t-563103,ref-y-2426090
ref-t-563103,ref-y-2226728
ref-t-563103,ref-b-5450059
ref-t-563103,ref-y-2267237
ref-t-563867,ref-y-2435404
ref-t-563876,ref-b-5864542
ref-t-564039,ref-b-5865045
ref-t-564317,ref-b-5850861
ref-t-564317,ref-y-3120117
ref-t-564479,ref-b-3468230
ref-t-564711,ref-y-2427249
ref-t-565424,ref-b-3426650
ref-t-565757,ref-y-2438780
ref-t-565757,ref-b-4414021
ref-t-565757,ref-b-4414021
ref-t-565819,ref-sifre-n-187761
ref-t-565819,ref-b-4415277
ref-t-566746,ref-b-3431712
ref-t-566746,ref-y-2441581
ref-t-570045,ref-b-3461712
ref-t-570493,ref-b-3472614
ref-t-570532,ref-b-2440521
ref-t-570532,ref-b-3473691
ref-t-570532,ref-b-2440521
ref-t-570532,ref-b-3473691
ref-t-570532,ref-b-5821266
ref-t-570945,ref-y-2454321
ref-t-571063,ref-y-2454548
ref-t-571796,ref-y-2458516
ref-t-574224,ref-b-3500726
ref-t-574224,ref-y-266350
ref-t-574224,ref-y-2467584
ref-t-574224,ref-y-2467979
ref-t-574224,ref-b-3500726
ref-t-575009,ref-y-2228175
ref-t-575009,ref-y-2427678
ref-t-575096,ref-b-5223218
ref-t-575220,ref-b-5223549
ref-t-575220,ref-y-2228603
ref-t-576242,ref-y-3008698
ref-t-578604,ref-b-3534383
ref-t-578604,ref-b-3534383
ref-t-579553,ref-b-3536896
ref-t-580693,ref-y-2430807
ref-t-581460,ref-b-5771747
ref-t-583805,ref-b-4229345
ref-t-584057,ref-y-2660576
ref-t-584068,ref-b-4698696
ref-t-585555,ref-b-3593325
ref-t-585555,ref-y-2521934
ref-t-585895,ref-y-2524345
ref-t-586084,ref-y-2524345
ref-t-586250,ref-y-2524967
ref-t-586250,ref-y-2524967
ref-t-586456,ref-b-3600076
ref-t-586456,ref-b-3600076
ref-t-588128,ref-b-3633938
ref-t-588791,ref-b-3634843
ref-t-591333,ref-b-3676080
ref-t-591333,ref-y-2517508
ref-t-591333,ref-y-2552081
ref-t-592118,ref-b-3707858
ref-t-592366,ref-b-3708943
ref-t-592659,ref-y-2577097
ref-t-592659,ref-y-2567653
ref-t-593356,ref-b-3712068
ref-t-593356,ref-b-8490035
ref-t-593356,ref-b-3712068
ref-t-595213,ref-b-3715756
ref-t-597438,ref-y-2590463
ref-t-599216,ref-b-3734974
ref-t-599243,ref-b-3749993
ref-t-600288,ref-b-3743002
ref-t-600288,ref-y-2595243
ref-t-600422,ref-y-2595564
ref-t-600422,ref-b-3743002
ref-t-601040,ref-y-2596036
ref-t-601040,ref-sifre-n-265238
ref-t-601040,ref-sifre-n-265238
ref-t-601040,ref-b-3744378
ref-t-601040,ref-b-3744378
ref-t-601040,ref-y-2596036
ref-t-601040,ref-sifre-n-271120
ref-t-601642,ref-b-5138969
ref-t-601778,ref-b-3755315
ref-t-603439,ref-b-3750228
ref-t-603656,ref-b-3765271
ref-t-605627,ref-b-3861242
ref-t-605627,ref-b-3861242
ref-t-607262,ref-y-2736565
ref-t-607519,ref-y-2019246
ref-t-609229,ref-y-2740348
ref-t-609499,ref-y-2746789
ref-t-610743,ref-y-2749881
ref-t-610743,ref-y-2749390
ref-t-610743,ref-y-2749881
ref-t-611931,ref-b-7147488
ref-t-613229,ref-b-3830692
ref-t-615321,ref-sifre-n-61548
ref-t-615555,ref-y-2738359
ref-t-617022,ref-y-2806402
ref-t-617771,ref-y-2806801
ref-t-617771,ref-y-2806801
ref-t-617818,ref-y-2807119
ref-t-617818,ref-y-2808012
ref-t-618157,ref-b-7014021
ref-t-618157,ref-b-7468676
ref-t-618157,ref-b-8742506
ref-t-618480,ref-y-2807709
ref-t-618771,ref-y-2808199
ref-t-620978,ref-b-3908605
ref-t-620978,ref-b-3908605
ref-t-620978,ref-b-3909363
ref-t-621195,ref-y-2249473
ref-t-621493,ref-y-2252526
ref-t-621493,ref-sifre-n-17648
ref-t-621964,ref-bible-668499
ref-t-621964,ref-bible-1524933
ref-t-622286,ref-b-3921499
ref-t-622286,ref-y-2252914
ref-t-622734,ref-b-6108339
ref-t-625149,ref-b-3919484
ref-t-625241,ref-y-2287493
ref-t-625253,ref-y-2287493
ref-t-625253,ref-b-3919605
ref-t-626393,ref-b-3926262
ref-t-626393,ref-y-2256488
ref-t-626393,ref-y-2256488
ref-t-626631,ref-b-3926452
ref-t-626845,ref-b-3926652
ref-t-626845,ref-b-3926652
ref-t-627124,ref-b-3926730
ref-t-627124,ref-b-3926730
ref-t-627935,ref-b-6393665
ref-t-628320,ref-sifre-d-77224
ref-t-628532,ref-b-6401661
ref-t-628951,ref-sifre-d-77948
ref-t-628951,ref-bible-1007270
ref-t-629498,ref-b-3929724
ref-t-629617,ref-mek-142682
ref-t-632516,ref-sifre-n-125058
ref-t-632516,ref-sifre-n-125084
ref-t-634148,ref-b-3952309
ref-t-634442,ref-mek-86504
ref-t-634565,ref-b-3952747
ref-t-635066,ref-b-3953246
ref-t-635139,ref-y-37883
ref-t-635139,ref-mek-87511
ref-t-635440,ref-y-2265118
ref-t-635568,ref-sifre-n-145440
ref-t-635740,ref-bible-409415
ref-t-637184,ref-b-3928894
ref-t-637207,ref-b-3928894
ref-t-637207,ref-b-3928894
ref-t-637715,ref-b-3990600
ref-t-638012,ref-b-3990132
ref-t-639016,ref-b-4385179
ref-t-639039,ref-y-2257103
ref-t-639039,ref-b-4385179
ref-t-639477,ref-y-2257660
ref-t-641808,ref-b-4001916
ref-t-642304,ref-mek-136994
ref-t-642304,ref-mek-136994
ref-t-642673,ref-y-2305925
ref-t-642673,ref-y-2305925
ref-t-645408,ref-sifre-n-131964
ref-t-645998,ref-sifre-d-37222
ref-t-647101,ref-sifre-d-37833
ref-t-647101,ref-b-2300303
ref-t-647101,ref-b-2300384
ref-t-647500,ref-y-1816541
ref-t-647500,ref-sifre-d-38247
ref-t-647500,ref-sifre-d-38247
ref-t-647500,ref-b-2300825
ref-t-649895,ref-y-2283240
ref-t-649927,ref-b-2757528
ref-t-650572,ref-b-2758429
ref-t-650901,ref-b-2758782
ref-t-652433,ref-sifre-n-110586
ref-t-653078,ref-sifre-d-207036
ref-t-654704,ref-sifre-d-206364
ref-t-654704,ref-sifre-d-206912
ref-t-655529,ref-b-4010470
ref-t-656030,ref-b-4011044
ref-t-656030,ref-b-4011044
ref-t-656185,ref-b-7124408
ref-t-656189,ref-mek-148730
ref-t-656189,ref-mek-218651
ref-t-656189,ref-sifre-d-100240
ref-t-656185,ref-sifre-d-309230
ref-t-656249,ref-b-4011304
ref-t-656964,ref-b-4016551
ref-t-656964,ref-b-4016551
ref-t-657826,ref-b-4019444
ref-t-657826,ref-b-10010
ref-t-658125,ref-b-4019873
ref-t-658714,ref-y-2318699
ref-t-658745,ref-b-4025326
ref-t-659193,ref-b-4025737
ref-t-659193,ref-b-4025737
ref-t-659412,ref-y-2319785
ref-t-660718,ref-y-2350079
ref-t-661030,ref-y-2350224
ref-t-661650,ref-bible-917221
ref-t-661985,ref-bible-917545
ref-t-665029,ref-sifre-d-59321
ref-t-665309,ref-sifre-d-59527
ref-t-666867,ref-b-4519319
ref-t-667284,ref-b-4519460
ref-t-667284,ref-b-4519460
ref-t-667665,ref-b-2392567
ref-t-667771,ref-mek-200236
ref-t-669741,ref-b-5997295
ref-t-673167,ref-y-1548741
ref-t-673167,ref-y-2330156
ref-t-673167,ref-b-1831411
ref-t-673167,ref-b-6798439
ref-t-673167,ref-y-2330156
ref-t-673717,ref-y-1547264
ref-t-674268,ref-y-2356813
ref-t-674268,ref-b-4075921
ref-t-674268,ref-b-4076162
ref-t-674529,ref-y-2356813
ref-t-674559,ref-b-4076014
ref-t-674617,ref-b-5963196
ref-t-674617,ref-b-5963196
ref-t-674617,ref-b-4076230
ref-t-675073,ref-y-2356670
